"flagCode","country","Billionaires_2024","BillionairesRate_2024","BillionairesRichestBillionaire_2024","BillionairesRichestNetWorth_2024"
"US","United States",813,2.42,"Elon Musk",195
"CN","China",406,0.288,"Zhong Shanshan",62.3
"IN","India",200,0.144,"Mukesh Ambani",116
"DE","Germany",132,1.56,"Klaus-Michael Kuehne",39.2
"RU","Russia",120,0.821,"Vagit Alekperov",28.6
"IT","Italy",73,1.239,"Giovanni Ferrero",43.8
"BR","Brazil",69,0.34,"Eduardo Saverin",28
"CA","Canada",67,1.643,"David Thomson & family",67.8
"HK","Hong Kong",67,8.936,"Li Ka-shing",37.3
"GB","United Kingdom",55,0.814,"Michael Platt",18
"FR","France",53,0.775,"Bernard Arnault & family",233
"TW","Taiwan",51,2.178,"Barry Lam",11
"AU","Australia",48,1.79,"Gina Rinehart",30.8
"SE","Sweden",43,4.075,"Stefan Persson",16.6
"JP","Japan",41,0.331,"Tadashi Yanai & family",42.8
"CH","Switzerland",41,4.591,"Gianluigi Aponte",33.1
"SG","Singapore",39,6.591,"Li Xiting",15.1
"KR","South Korea",36,0.702,"Jay Y. Lee",11.5
"IL","Israel",36,3.649,"Eyal Ofer",24
"ID","Indonesia",35,0.125,"Prajogo Pangestu",43.4
"ES","Spain",29,0.597,"Amancio Ortega",103
"TR","Turkey",27,0.316,"Murat Ulker",5.1
"TH","Thailand",26,0.381,"Dhanin Chearavanont",12.5
"MX","Mexico",22,0.17,"Carlos Slim Helu & family",102
"MY","Malaysia",17,0.509,"Robert Kuok",11.4
"PH","Philippines",16,0.142,"Manuel Villar",11
"NL","Netherlands",14,0.78,"Charlene de Carvalho-Heineken & family",14.1
"NO","Norway",12,2.162,"Ivar Tollefsen",8.3
"CZ","Czech Republic",11,1.011,"Renata Kellnerova & family",18
"IE","Ireland",11,2.083,"Shapoor Mistry",9.9
"BE","Belgium",10,0.847,"Eric Wittouck",8.5
"GR","Greece",10,0.96,"Maria Angelicoussis",6.4
"CY","Cyprus",10,10.892,"Vinod Adani",23
"AT","Austria",9,0.983,"Mark Mateschitz",39.6
"DK","Denmark",9,1.51,"Anders Holch Povlsen",12.5
"PL","Poland",8,0.213,"Michal Solowow",6.9
"FI","Finland",7,1.256,"Antti Herlin",4
"VN","Vietnam",6,0.06,"Pham Nhat Vuong",4.4
"ZA","South Africa",6,0.097,"Johann Rupert & family",12.2
"KZ","Kazakhstan",6,0.299,"Vyacheslav Kim",5.8
"CL","Chile",6,0.301,"Iris Fontbona & family",25.7
"RO","Romania",6,0.315,"Daniel Dines",2.7
"LB","Lebanon",6,1.093,"Najib Mikati",2.8
"EG","Egypt",5,0.048,"Nassef Sawiris",8.8
"AR","Argentina",5,0.107,"Marcos Galperin",6.3
"UA","Ukraine",5,0.136,"Rinat Akhmetov",4
"HU","Hungary",5,0.521,"Lorinc Meszaros",1.7
"NG","Nigeria",4,0.018,"Aliko Dangote",13.4
"CO","Colombia",4,0.076,"David Velez & family",10.8
"AE","United Arab Emirates",4,0.431,"Pavel Durov",15.5
"NZ","New Zealand",4,0.754,"Graeme Hart",10.4
"MC","Monaco",3,76.825,"Stefano Pessina",6.9
"MA","Morocco",2,0.054,"Aziz Akhannouch & family",1.7
"BG","Bulgaria",2,0.31,"Georgi Domuschiev",2.1
"OM","Oman",2,0.391,"P.N.C. Menon",2.8
"SK","Slovakia",2,0.369,"Jaroslav Hascak & family",1.8
"GE","Georgia",2,0.535,"Mikhail Lomtadze",5.2
"QA","Qatar",2,0.753,"Hamad bin Jassim bin Jaber Al Thani",1.8
"BD","Bangladesh",1,0.006,"Muhammed Aziz Khan",1.1
"TZ","Tanzania",1,0.016,"Mohammed Dewji",1.8
"DZ","Algeria",1,0.022,"Issad Rebrab & family",2.5
"NP","Nepal",1,0.034,"Binod Chaudhary",1.8
"VE","Venezuela",1,0.035,"Juan Carlos Escotet",4.4
"ZW","Zimbabwe",1,0.066,"Strive Masiyiwa",1.8
"PT","Portugal",1,0.096,"Maria Fernanda Amorim & family",5.7
"PA","Panama",1,0.246,"Stanley Motta",1.1
"AM","Armenia",1,0.335,"Ruben Vardanyan & family",1.1
"EE","Estonia",1,0.732,"Kristo Käärmann",2.2
"BZ","Belize",1,2.265,"Kenneth Dart",4.7
"IS","Iceland",1,2.519,"Thor Bjorgolfsson",2.1
"BB","Barbados",1,3.734,"Rihanna",1.4
"GG","Guernsey",1,15.602,"Stephen Lansdown",2.6
"LI","Liechtenstein",1,25.174,"Christoph Zeller",1.5
,"Total",2775,,,
